gene_name,ENTREZID
Zm00001d038291,541612
Zm00001d001865,541613
Zm00001d013048,541614
Zm00001d027854,541615
Zm00001d018183,541617
Zm00001d045310,541618
Zm00001d035003,541619
Zm00001d026160,541620
Zm00001d028471,541622
Zm00001d041984,541623
Zm00001d026594,541624
Zm00001d005344,541625
Zm00001d042049,541626
Zm00001d025050,541627
Zm00001d020783,541628
Zm00001d002982,541629
Zm00001d011849,541630
Zm00001d023242,541632
Zm00001d050768,541633
Zm00001d017977,541634
Zm00001d002022,541635
Zm00001d028265,541636
Zm00001d028888,541637
Zm00001d015521,541638
Zm00001d048046,541639
Zm00001d035700,541640
Zm00001d042312,541641
Zm00001d014297,541642
Zm00001d005950,541643
Zm00001d031253,541644
Zm00001d023760,541645
Zm00001d036135,541646
Zm00001d014794,541647
Zm00001d052079,541648
Zm00001d014673,541649
Zm00001d029324,541650
Zm00001d007407,541651
Zm00001d052666,541652
Zm00001d036541,541654
Zm00001d052263,541656
Zm00001d000002,541657
Zm00001d027934,541658
Zm00001d048247,541659
Zm00001d010650,541661
Zm00001d036213,541662
Zm00001d044599,541663
Zm00001d021668,541664
Zm00001d010618,541665
Zm00001d002889,541666
Zm00001d049815,541667
Zm00001d008245,541668
Zm00001d045261,541669
Zm00001d042777,541670
Zm00001d007160,541674
Zm00001d027652,541675
Zm00001d029285,541677
Zm00001d025355,541678
Zm00001d001941,541679
Zm00001d037381,541680
Zm00001d019139,541682
Zm00001d042445,541683
Zm00001d034629,541684
Zm00001d038984,541685
Zm00001d045555,541686
Zm00001d026177,541687
Zm00001d052137,541689
Zm00001d024507,541691
Zm00001d049494,541692
Zm00001d032922,541693
Zm00001d030028,541694
Zm00001d003127,541695
Zm00001d006088,541696
Zm00001d042184,541699
Zm00001d035925,541700
Zm00001d030468,541702
Zm00001d034017,541703
Zm00001d031659,541705
Zm00001d007318,541707
Zm00001d014065,541708
Zm00001d021898,541709
Zm00001d041757,541710
Zm00001d004438,541711
Zm00001d048593,541712
Zm00001d020794,541713
Zm00001d013644,541714
Zm00001d049160,541716
Zm00001d028585,541717
Zm00001d017243,541726
Zm00001d021761,541728
Zm00001d050185,541729
Zm00001d005760,541730
Zm00001d041580,541731
Zm00001d017268,541732
Zm00001d003064,541733
Zm00001d021537,541734
Zm00001d043611,541743
Zm00001d022628,541744
Zm00001d026186,541747
Zm00001d014989,541753
Zm00001d012255,541754
Zm00001d013164,541755
Zm00001d044975,541757
Zm00001d053210,541758
